"
			The Batch {0} of an item {1} has negative stock in the warehouse {2}{3}.
			Please add a stock quantity of {4} to proceed with this entry.
			If it is not possible to make an adjustment entry, please enable 'Allow Negative Stock for Batch' in Stock Settings to proceed.
			However, enabling this setting may lead to negative stock in the system.
			So please ensure the stock levels are adjusted as soon as possible to maintain the correct valuation rate.","
			品目 {1} のバッチ {0} は、倉庫 {2}{3} でマイナス在庫になっています。
			この入力に進むには、在庫数量 {4} を追加してください。
			調整入力ができない場合は、続行するために在庫設定で「バッチのマイナス在庫を許可」を有効にしてください。
			ただし、この設定を有効にすると、システム内でマイナス在庫が発生する可能性があります。
			したがって、正しい評価レートを維持するために、できるだけ早く在庫レベルを調整してください。"
 Address, 住所
 Amount, 金額
 BOM, 部品表
 Default Work In Progress Warehouse , デフォルト仕掛品倉庫 
 Is Child Table, 子テーブル
 Is Subcontracted, 外注
 Item, アイテム
 Name, 名前
 Phantom Item, ファントムアイテム
 Quantity, 数量
 Rate, 単価
 Raw Material, 原材料
 Salary slips starting on or after this date will be considered for arrear calculations, この日付以降に開始する給与明細は、未払い計算の対象となります
 Skip Material Transfer, 材料移動をスキップ
 Sub Assembly, サブアセンブリ
 Summary, 概要
 Unlink Payment on Cancellation of Employee Advance, 従業員前払いのキャンセル時に支払いのリンクを解除
 You are impersonating as another user., 別のユーザーとしてなりすましています。
 out of {0}, {0}中
 to know more, 詳細はこちら
"""Company History""",会社沿革
"""Customer Provided Item"" cannot be Purchase Item also",「顧客提供品目」は仕入れ品目にはできません
"""Customer Provided Item"" cannot have Valuation Rate",「顧客提供品目」には評価レートを設定できません
"""From Date"" can not be greater than or equal to ""To Date""",「開始日」は「終了日」以上であってはなりません
"""Is Fixed Asset"" cannot be unchecked, as Asset record exists against the item",品目に対して資産レコードが存在するため、「固定資産である」のチェックを外すことはできません
"""Parent"" signifies the parent table in which this row must be added",「親」は、この行を追加する必要がある親テーブルを示します
"""SN-01::10"" for ""SN-01"" to ""SN-10""",「SN-01」から「SN-10」の場合、「SN-01::10」
"""Team Members"" or ""Management""",「チームメンバー」または「経営陣」
"""amended_from"" field must be present to do an amendment.",修正を行うには、「amended_from」フィールドが存在する必要があります。
"""{0}"" is not a valid Google Sheets URL",「{0}」は有効なGoogleシートURLではありません。
"# Account Settings

In ERPNext, Accounting features are configurable as per your business needs. Accounts Settings is the place to define some of your accounting preferences like:

 - Credit Limit and over billing settings
 - Taxation preferences
 - Deferred accounting preferences","# アカウント設定

ERPNext の会計機能は、業務に合わせて設定できます。アカウント設定では、次のような会計上の設定を定義します。

 - 与信限度額と過剰請求の設定
 - 税務の設定
 - 繰延計上の設定
"
"# Account Settings

In ERPNext, Accounting features are configurable as per your business needs. Accounts Settings is the place to define some of your accounting preferences like:

 - Credit Limit and over billing settings
 - Taxation preferences
 - Deferred accounting preferences
","# アカウント設定

ERPNext の会計機能は、業務に合わせて設定できます。アカウント設定では、次のような会計上の設定を定義します。

 - 与信限度額と過剰請求の設定
 - 税務の設定
 - 繰延計上の設定
"
"# Account Settings

This is a crucial piece of configuration. There are various account settings in ERPNext to restrict and configure actions in the Accounting module.

The following settings are avaialble for you to configure

1. Account Freezing 
2. Credit and Overbilling
3. Invoicing and Tax Automations
4. Balance Sheet configurations

There's much more, you can check it all out in this step","# アカウント設定

これは重要な設定です。ERPNext には、会計モジュールの操作を制限・調整するためのさまざまなアカウント設定があります。

次の設定を行えます。

1. 会計期間の凍結
2. 与信と過剰請求
3. 請求と税の自動化
4. 貸借対照表の設定

このほかにも多数あります。この手順で確認してください。"
"# Add an Existing Asset

If you are just starting with ERPNext, you will need to enter Assets you already possess. You can add them as existing fixed assets in ERPNext. Please note that you will have to make a Journal Entry separately updating the opening balance in the fixed asset account.","# 既存の資産を追加する

ERPNext を使い始める際は、すでに保有している資産を登録する必要があります。既存の固定資産として追加できます。なお、固定資産勘定の期首残高の更新は、別途仕訳で行う必要があります。"
"# All about sales invoice

A Sales Invoice is a bill that you send to your Customers against which the Customer makes the payment. Sales Invoice is an accounting transaction. On submission of Sales Invoice, the system updates the receivable and books income against a Customer Account.","# 売上請求について

売上請求は、顧客に対して発行する請求で、顧客はこれに対して支払を行います。売上請求は会計取引であり、提出すると売掛金が更新され、顧客の勘定に対して収益が計上されます。"
"# All about sales invoice

A Sales Invoice is a bill that you send to your Customers against which the Customer makes the payment. Sales Invoice is an accounting transaction. On submission of Sales Invoice, the system updates the receivable and books income against a Customer Account.

Here's the flow of how a sales invoice is generally created


![Sales Flow](https://docs.erpnext.com/docs/assets/img/accounts/so-flow.png)","# 売上請求について

売上請求は、顧客に対して発行する請求で、顧客はこれに対して支払を行います。売上請求は会計取引であり、提出すると売掛金が更新され、顧客の勘定に対して収益が計上されます。

売上請求が作成されるまでの一般的な流れは次のとおりです。


![販売の流れ](https://docs.erpnext.com/docs/assets/img/accounts/so-flow.png)"
"# Asset Category

An Asset Category classifies different assets of a Company.

You can create an Asset Category based on the type of assets. For example, all your desktops and laptops can be part of an Asset Category named ""Electronic Equipments"". Create a separate category for furniture. Also, you can update default properties for each category, like:
 - Depreciation type and duration
 - Fixed asset account
 - Depreciation account","# 資産カテゴリー

資産カテゴリーは、会社の資産を分類するものです。

資産の種類に応じて資産カテゴリーを作成します。たとえば、デスクトップやノートパソコンは「電子機器」という資産カテゴリーにまとめ、什器は別のカテゴリーにします。カテゴリーごとに次のような既定値を設定できます。
 - 減価償却の方法と期間
 - 固定資産勘定
 - 減価償却費勘定
"
"# Asset Category

An Asset Category classifies different assets of a Company.

You can create an Asset Category based on the type of assets. For example, all your desktops and laptops can be part of an Asset Category named ""Electronic Equipments"". Create a separate category for furniture. Also, you can update default properties for each category, like:
 - Depreciation type and duration
 - Fixed asset account
 - Depreciation account
","# 資産カテゴリー

資産カテゴリーは、会社の資産を分類するものです。

資産の種類に応じて資産カテゴリーを作成します。たとえば、デスクトップやノートパソコンは「電子機器」という資産カテゴリーにまとめ、什器は別のカテゴリーにします。カテゴリーごとに次のような既定値を設定できます。
 - 減価償却の方法と期間
 - 固定資産勘定
 - 減価償却費勘定
"
"# Asset Item

Asset items are created based on Asset Category. You can create one or multiple items against once Asset Category. The sales and purchase transaction for Asset is done via Asset Item.","# 資産品目

資産品目は資産カテゴリーをもとに作成します。1 つの資産カテゴリーに対して 1 つでも複数でも品目を作成できます。資産の販売・購買の取引は、資産品目を通じて行います。"
"# Asset Item

Asset items are created based on Asset Category. You can create one or multiple items against once Asset Category. The sales and purchase transaction for Asset is done via Asset Item. ","# 資産品目

資産品目は資産カテゴリーをもとに作成します。1 つの資産カテゴリーに対して 1 つでも複数でも品目を作成できます。資産の販売・購買の取引は、資産品目を通じて行います。"
"# Buying Settings


Buying module’s features are highly configurable as per your business needs. Buying Settings is the place where you can set your preferences for:

- Supplier naming and default values
- Billing and shipping preference in buying transactions","# 購入設定


購買モジュールの機能は、業務に合わせて細かく設定できます。購入設定では、次のような既定値を設定します。

- 仕入先の採番と既定値
- 購買取引における請求先・配送先の設定


"
"# Buying Settings


Buying module’s features are highly configurable as per your business needs. Buying Settings is the place where you can set your preferences for:

- Supplier naming and default values
- Billing and shipping preference in buying transactions


","# 購入設定


購買モジュールの機能は、業務に合わせて細かく設定できます。購入設定では、次のような既定値を設定します。

- 仕入先の採番と既定値
- 購買取引における請求先・配送先の設定


"
"# CRM Settings

CRM module’s features are configurable as per your business needs. CRM Settings is the place where you can set your preferences for:
- Campaign
- Lead
- Opportunity
- Quotation","# CRM 設定

CRM モジュールの機能は、業務に合わせて設定できます。CRM 設定では、次の項目について既定値を設定します。
- キャンペーン
- リード
- 機会
- 見積"
"# Chart Of Accounts

ERPNext sets up a simple chart of accounts for each Company you create, but you can modify it according to business and legal requirements.","# 勘定科目一覧表

ERPNext は、作成した会社ごとに簡易な勘定科目一覧表を用意します。業務要件や法的要件に合わせて変更できます。"
"# Check Stock Reports
Based on the various stock transactions, you can get a host of one-click Stock Reports in ERPNext like Stock Ledger, Stock Balance, Projected Quantity, and Ageing analysis.","# 在庫レポートを確認する
在庫取引をもとに、在庫元帳・在庫残高・予定数量・滞留分析といった在庫レポートを、ERPNext からワンクリックで出力できます。"
"# Cost Centers for Budgeting and Analysis

While your Books of Accounts are framed to fulfill statutory requirements, you can set up Cost Center and Accounting Dimensions to address your companies reporting and budgeting requirements.

Click here to learn more about how  <b>[Cost Center](https://docs.erpnext.com/docs/v13/user/manual/en/accounts/cost-center)</b> and <b> [Dimensions](https://docs.erpnext.com/docs/v13/user/manual/en/accounts/accounting-dimensions)</b> allow you to get advanced financial analytics reports from ERPNext.","# 予算管理と分析のためのコストセンター

会計帳簿は法定要件を満たすために作られますが、コストセンターと会計ディメンションを設定すれば、社内の報告や予算管理の要件にも対応できます。

<b>[コストセンター](https://docs.erpnext.com/docs/v13/user/manual/en/accounts/cost-center)</b> と <b>[ディメンション](https://docs.erpnext.com/docs/v13/user/manual/en/accounts/accounting-dimensions)</b> を使って ERPNext から高度な財務分析レポートを得る方法は、こちらを参照してください。"
"# Create Items for Bill of Materials

One of the prerequisites of a BOM is the creation of raw materials, sub-assembly, and finished items. Once these items are created, you will be able to proceed to the Bill of Materials master, which is composed of items and routing.","# 部品表用の品目を作成する

部品表を作成するには、原材料・半製品・完成品の品目があらかじめ必要です。これらの品目を作成すると、品目とルーティングで構成される部品表マスタに進めます。
"
"# Create Items for Bill of Materials

One of the prerequisites of a BOM is the creation of raw materials, sub-assembly, and finished items. Once these items are created, you will be able to proceed to the Bill of Materials master, which is composed of items and routing.
","# 部品表用の品目を作成する

部品表を作成するには、原材料・半製品・完成品の品目があらかじめ必要です。これらの品目を作成すると、品目とルーティングで構成される部品表マスタに進めます。
"
"# Create Operations

An Operation refers to any manufacturing operation performed on the raw materials to process it further in the manufacturing path. As an example, if you are into garments manufacturing, you will create Operations like fabric cutting, stitching, and washing as some of the operations.","# 作業を作成する

作業とは、原材料を次の工程へ進めるために行う製造上の工程を指します。たとえば衣料品の製造であれば、裁断・縫製・洗いといった工程をそれぞれ作業として作成します。"
"# Create Workstations

A Workstation stores information regarding the place where the workstation operations are performed. As an example, if you have ten sewing machines doing stitching jobs, each machine will be added as a workstation.","# 作業所を作成する

作業所には、作業を行う場所の情報を登録します。たとえば縫製を行うミシンが 10 台あるなら、1 台ずつを作業所として追加します。"
"# Create a Bill of Materials

A Bill of Materials (BOM) is a list of items and sub-assemblies with quantities required to manufacture an Item.

BOM also provides cost estimation for the production of the item. It takes raw-materials cost based on valuation and operations to cost based on routing, which gives total costing for a BOM.","# 部品表を作成する

部品表（BOM）は、品目を製造するために必要な品目・半製品とその数量の一覧です。

部品表は製造原価の見積にも使われます。原材料は評価額から、作業はルーティングから原価を算出し、部品表全体の原価が求められます。"
"# Create a Customer

The Customer master is at the heart of your sales transactions. Customers are linked in Quotations, Sales Orders, Invoices, and Payments. Customers can be either numbered or identified by name (you would typically do this based on the number of customers you have).

Through Customer’s master, you can effectively track essentials like:
 - Customer’s multiple address and contacts
 - Account Receivables
 - Credit Limit and Credit Period","# 顧客を作成する

顧客マスタは販売取引の中心にあります。顧客は見積・受注・請求・入金と連携します。顧客は採番することも、名称で識別することもできます（顧客数に応じて選びます）。

顧客マスタでは、次のような重要な情報を管理できます。
 - 顧客の複数の住所と連絡先
 - 売掛金
 - 与信限度額と与信期間
"
"# Create a Customer

The Customer master is at the heart of your sales transactions. Customers are linked in Quotations, Sales Orders, Invoices, and Payments. Customers can be either numbered or identified by name (you would typically do this based on the number of customers you have).

Through Customer’s master, you can effectively track essentials like:
 - Customer’s multiple address and contacts
 - Account Receivables
 - Credit Limit and Credit Period
","# 顧客を作成する

顧客マスタは販売取引の中心にあります。顧客は見積・受注・請求・入金と連携します。顧客は採番することも、名称で識別することもできます（顧客数に応じて選びます）。

顧客マスタでは、次のような重要な情報を管理できます。
 - 顧客の複数の住所と連絡先
 - 売掛金
 - 与信限度額と与信期間
"
"# Create a Letter Head

A Letter Head contains your organization's name, logo, address, etc which appears at the header and footer portion in documents. You can learn more about Setting up Letter Head in ERPNext here.","# レターヘッドを作成する

レターヘッドには、組織名・ロゴ・住所などを登録します。これらは文書のヘッダーとフッターに表示されます。ERPNext でのレターヘッドの設定方法は、こちらで確認できます。
"
"# Create a Letter Head

A Letter Head contains your organization's name, logo, address, etc which appears at the header and footer portion in documents. You can learn more about Setting up Letter Head in ERPNext here.
","# レターヘッドを作成する

レターヘッドには、組織名・ロゴ・住所などを登録します。これらは文書のヘッダーとフッターに表示されます。ERPNext でのレターヘッドの設定方法は、こちらで確認できます。
"
